Oriental Scops-Owl,OSOW
Oriental Turtle-Dove,OTDO
Osprey,WEOS
Ou,OU
Ovenbird,OVEN
Pacific Golden-Plover,PGPL
Pacific Loon,PADI
Pacific Swift,PASW
Pacific Wren,PAWR
Pacific-slope Flycatcher,PSFL
Paint-billed Crake,PBCR
Painted Bunting,PABU
Painted Redstart,PAWH
Palila,PALI
Pallas's Bunting,PRBU
Pallas's Grasshopper Warbler,PAGW
Pallas's Gull,PAGU
Pallas's Leaf Warbler,PALW
Pallas's Rosefinch,PARO
Palm Warbler,PAWA
Parakeet Auklet,PAAU
Parasitic Jaeger,ARJA
Parkinson's Petrel,BLPE
Passenger Pigeon,PAPI
Pechora Pipit,PEPI
Pectoral Sandpiper,PESA
Pelagic Cormorant,PECO
Peregrine Falcon,PEFA
Phainopepla,PHAI
Philadelphia Vireo,PHVI
Pied Wheatear,PIWH
Pied-billed Grebe,PBGR
Pigeon Guillemot,PIGU
Pileated Woodpecker,PIWO
Pin-tailed Snipe,PISN
Pine Bunting,PIBU
Pine Flycatcher,PIFL
Pine Grosbeak,PIGR
Pine Siskin,PISI
Pine Warbler,PIWA
Pink-footed Goose,PFGO
Pink-footed Shearwater,PFSH
Pinyon Jay,PIJA
Piping Plover,PIPL
Piratic Flycatcher,PIFL
Plain Chachalaca,PLCH
Plain-capped Starthroat,PCST
Plumbeous Vireo,PLVI
Pomarine Jaeger,POSK
Poo-uli,POUL
Prairie Falcon,PRFA
Prairie Warbler,PRWA
Prothonotary Warbler,PRWA
Providence Petrel,PRPE
Puaiohi,PUAI
Purple Finch,PUFI
Purple Gallinule,APGA
Purple Martin,PUMA
Purple Sandpiper,PUSA
Pygmy Nuthatch,PYNU
Pyrrhuloxia,PYRR
Razorbill,RAZO
Red Avadavat,REAV
Red Crossbill,COCR
Red Junglefowl,REJU
Red Knot,REKN
Red Phalarope,GRPH
Red-backed Shrike,RBSH
Red-bellied Woodpecker,RBWO
Red-billed Leiothrix,RBLE
Red-billed Pigeon,RBPI
Red-billed Tropicbird,RBTR
Red-breasted Merganser,RBME
Red-breasted Nuthatch,RBNU
Red-breasted Sapsucker,RBSA
Red-cockaded Woodpecker,RCWO
Red-crested Cardinal,RCCA
Red-crowned Parrot,RCAM
Red-eyed Vireo,REVI
Red-faced Cormorant,RFCO
Red-faced Warbler,RFWA
Red-flanked Bluetail,OFBR
Red-footed Booby,RFBO
Red-footed Falcon,RFFA
Red-headed Woodpecker,RHWO
Red-legged Honeycreeper,RLHO
Red-legged Kittiwake,RLKI
Red-legged Thrush,NRLT
Red-masked Parakeet,RMPA
Red-naped Sapsucker,RNSA
Red-necked Grebe,RNGR
Red-necked Phalarope,RNPH
Red-necked Stint,RNST
Red-shouldered Hawk,RSHA
Red-tailed Hawk,RTHA
Red-tailed Tropicbird,RTTR
Red-throated Loon,RTDI
Red-throated Pipit,RTPI
Red-vented Bulbul,RVBU
Red-whiskered Bulbul,RWBU
Red-winged Blackbird,RWBL
Reddish Egret,REEG
Redhead,REDH
Redwing,REDW
Reed Bunting,CRBU
Rhinoceros Auklet,RHAU
Ridgway's Rail,RIRA
Ring-billed Gull,RBGU
Ring-necked Duck,RNDU
